sepal_length,sepal_width,petal_length,petal_width,species,image
5.8,2.7,4.1,1,Iris-versicolor,7ab4f2df7d.jpg
6.2,2.2,4.5,1.5,Iris-versicolor,7ba1416246.jpg
5.6,2.5,3.9,1.1,Iris-versicolor,7dd6d5fed5.jpg
5.9,3.2,4.8,1.8,Iris-versicolor,807f09a571.jpg
6.1,2.8,4,1.3,Iris-versicolor,837979a22c.jpg
6.3,2.5,4.9,1.5,Iris-versicolor,8380f9f054.jpg
6.1,2.8,4.7,1.2,Iris-versicolor,847b45809f.jpg
6.4,2.9,4.3,1.3,Iris-versicolor,8c12d19fa0.jpg
6.6,3,4.4,1.4,Iris-versicolor,8d4dbc1218.jpg
6.8,2.8,4.8,1.4,Iris-versicolor,9d3b685f50.jpg
6.7,3,5,1.7,Iris-versicolor,9ec9d92eb7.jpg
6,2.9,4.5,1.5,Iris-versicolor,9f79c4e746.jpg
5.7,2.6,3.5,1,Iris-versicolor,a3e41664bc.jpg
5.5,2.4,3.8,1.1,Iris-versicolor,ac9fa3588b.jpg
5.5,2.4,3.7,1,Iris-versicolor,acca9c0de0.jpg
5.8,2.7,3.9,1.2,Iris-versicolor,af5bf183c9.jpg
6,2.7,5.1,1.6,Iris-versicolor,b1b8d816da.jpg
5.4,3,4.5,1.5,Iris-versicolor,b3eec67a3a.jpg
6,3.4,4.5,1.6,Iris-versicolor,b4e7f044e7.jpg
6.7,3.1,4.7,1.5,Iris-versicolor,bef4ae7602.jpg
6.3,2.3,4.4,1.3,Iris-versicolor,bfce6cf99b.jpg
5.6,3,4.1,1.3,Iris-versicolor,c24b9266f6.jpg
5.5,2.5,4,1.3,Iris-versicolor,c3ac5af864.jpg
5.5,2.6,4.4,1.2,Iris-versicolor,c3e9a10fdb.jpg
6.1,3,4.6,1.4,Iris-versicolor,c4c16ac325.jpg
5.8,2.6,4,1.2,Iris-versicolor,c63ec146ea.jpg
5,2.3,3.3,1,Iris-versicolor,c761b51252.jpg
5.6,2.7,4.2,1.3,Iris-versicolor,c8e6435979.jpg
5.7,3,4.2,1.2,Iris-versicolor,c95520fff0.jpg
5.7,2.9,4.2,1.3,Iris-versicolor,c9cb770ffe.jpg
6.2,2.9,4.3,1.3,Iris-versicolor,d0e28a0d8b.jpg
5.1,2.5,3,1.1,Iris-versicolor,d4ed5e2fa9.jpg
5.7,2.8,4.1,1.3,Iris-versicolor,dc4a211d41.jpg
6.3,3.3,6,2.5,Iris-virginica,00b7e0fc2a.jpg
5.8,2.7,5.1,1.9,Iris-virginica,044c00f694.jpg
7.1,3,5.9,2.1,Iris-virginica,0a5f520707.jpg
6.3,2.9,5.6,1.8,Iris-virginica,1dd4139c8f.jpg
6.5,3,5.8,2.2,Iris-virginica,200e376483.jpg
7.6,3,6.6,2.1,Iris-virginica,255d42041a.jpg
4.9,2.5,4.5,1.7,Iris-virginica,2fa37a88aa.jpg
7.3,2.9,6.3,1.8,Iris-virginica,30310e9cf9.jpg
6.7,2.5,5.8,1.8,Iris-virginica,3162b10b53.jpg
7.2,3.6,6.1,2.5,Iris-virginica,3e89d249bd.jpg
6.5,3.2,5.1,2,Iris-virginica,4391fe1b69.jpg
6.4,2.7,5.3,1.9,Iris-virginica,458632c9e3.jpg
6.8,3,5.5,2.1,Iris-virginica,4800f42af0.jpg
5.7,2.5,5,2,Iris-virginica,4eee33988e.jpg
5.8,2.8,5.1,2.4,Iris-virginica,526c6450cd.jpg
6.4,3.2,5.3,2.3,Iris-virginica,5971b001db.jpg
6.5,3,5.5,1.8,Iris-virginica,5a940173e8.jpg
7.7,3.8,6.7,2.2,Iris-virginica,6485a9f041.jpg
7.7,2.6,6.9,2.3,Iris-virginica,64f29561c5.jpg
6,2.2,5,1.5,Iris-virginica,6524bf3658.jpg
6.9,3.2,5.7,2.3,Iris-virginica,74f680a275.jpg
5.6,2.8,4.9,2,Iris-virginica,75e9d01f0e.jpg
7.7,2.8,6.7,2,Iris-virginica,766b6a5e3b.jpg
6.3,2.7,4.9,1.8,Iris-virginica,79aec67c42.jpg
6.7,3.3,5.7,2.1,Iris-virginica,890db0c0e1.jpg
7.2,3.2,6,1.8,Iris-virginica,8b09942388.jpg
6.2,2.8,4.8,1.8,Iris-virginica,8ce9e8155b.jpg
6.1,3,4.9,1.8,Iris-virginica,9305bd55ac.jpg
6.4,2.8,5.6,2.1,Iris-virginica,939aa86920.jpg
7.2,3,5.8,1.6,Iris-virginica,99d35f624d.jpg
7.4,2.8,6.1,1.9,Iris-virginica,9ab5f154c9.jpg
7.9,3.8,6.4,2,Iris-virginica,9c656dabf3.jpg
6.4,2.8,5.6,2.2,Iris-virginica,a881752ddc.jpg
6.3,2.8,5.1,1.5,Iris-virginica,a96a1b9067.jpg
6.1,2.6,5.6,1.4,Iris-virginica,ab0aba91e9.jpg
7.7,3,6.1,2.3,Iris-virginica,b73efb7a84.jpg
6.3,3.4,5.6,2.4,Iris-virginica,c0e83f3c90.jpg
6.4,3.1,5.5,1.8,Iris-virginica,cad93560ce.jpg
6,3,4.8,1.8,Iris-virginica,cc7c7d5f0d.jpg
6.9,3.1,5.4,2.1,Iris-virginica,cd0c9545bb.jpg
6.7,3.1,5.6,2.4,Iris-virginica,cedea707c9.jpg
6.9,3.1,5.1,2.3,Iris-virginica,cf63b9c6a7.jpg
5.8,2.7,5.1,1.9,Iris-virginica,d3ed088ddd.jpg
6.8,3.2,5.9,2.3,Iris-virginica,d4a2c31ffc.jpg
6.7,3.3,5.7,2.5,Iris-virginica,d5d7aa9cb1.jpg
6.7,3,5.2,2.3,Iris-virginica,d724d9d0cb.jpg
6.3,2.5,5,1.9,Iris-virginica,dd555866c6.jpg
6.5,3,5.2,2,Iris-virginica,dfa937cb81.jpg
6.2,3.4,5.4,2.3,Iris-virginica,f2afd59439.jpg
5.9,3,5.1,1.8,Iris-virginica,f45f73cc01.jpg
